Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ACCESS - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
ACCESS - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   
ACCESS - FREE FLOAT NOSH,72,71,78,75,53,41,42,41,39,84,56
ACOM - Board Size,9,9,10,10,12,12,10,9,9,9,NA
ACOM - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
ACOM - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,NA
ACOM - FREE FLOAT NOSH,32,32,32,32,32,32,32,32,31,31,31
AEON MALL - Board Size,13,13,11,13,12,13,12,13,13,12,NA
AEON MALL - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
AEON MALL - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
AEON MALL - FREE FLOAT NOSH,51,45,50,47,45,45,44,42,42,42,42
AEON FINANCIAL SERVICE - Board Size,12,12,13,11,15,11,13,13,12,12,12
AEON FINANCIAL SERVICE - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
AEON FINANCIAL SERVICE - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
AEON FINANCIAL SERVICE - FREE FLOAT NOSH,44,52,53,56,55,55,52,52,52,52,52
AGC - Board Size,7,7,7,7,7,7,7,7,7,7,NA
AGC - Current CEO Chairman Duality,N   ,Y   ,N   ,N   ,N   ,N   ,N   ,Y   ,N   ,N   ,NA
AGC - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
AGC - FREE FLOAT NOSH,100,100,100,100,100,100,95,95,95,95,95
AIFUL - Board Size,9,8,11,11,11,12,10,11,8,9,9
AIFUL - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
AIFUL - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
AIFUL - FREE FLOAT NOSH,62,62,62,63,63,63,63,63,63,63,56
AJINOMOTO - Board Size,17,17,16,16,11,11,9,9,11,10,11
AJINOMOTO - Current CEO Chairman Duality,N   ,N   ,Y   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
AJINOMOTO - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
AJINOMOTO - FREE FLOAT NOSH,100,100,100,95,100,100,95,100,100,95,86
MEBUKI FINANCIAL GROUP - Board Size,NA,NA,NA,11,12,11,9,12,12,12,12
MEBUKI FINANCIAL GROUP - Current CEO Chairman Duality,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
MEBUKI FINANCIAL GROUP - CSR Sustainability Committee,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   
MEBUKI FINANCIAL GROUP - FREE FLOAT NOSH,47,45,45,90,90,90,91,100,100,100,100
ALPS ALPINE - Board Size,11,12,13,18,14,9,10,15,14,13,11
ALPS ALPINE - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   
ALPS ALPINE - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
ALPS ALPINE - FREE FLOAT NOSH,94,94,94,94,93,93,93,91,92,87,84
ALFRESA HOLDINGS - Board Size,15,15,15,11,11,11,8,11,10,11,NA
ALFRESA HOLDINGS - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
ALFRESA HOLDINGS - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
ALFRESA HOLDINGS - FREE FLOAT NOSH,100,100,100,94,100,100,100,100,100,100,100
