No,ISIN CODE,Year,PRICE TO BOOK VAL,RETURN ON ASSETS,TOTAL DEBT % COMMON EQUITY
106,JP3496400007,2015,2.15,8.69,33.96
106,JP3496400007,2016,2.18,8.97,34.47
106,JP3496400007,2017,1.95,9.29,29.73
107,JP3551500006,2014,1.03,7.1,16.22
107,JP3551500006,2015,1.63,5.37,13.44
107,JP3551500006,2016,0.99,4.87,15.26
107,JP3551500006,2017,1.03,5.2,10.57
108,JP3548610009,2014,1.03,16.58,0.92
108,JP3548610009,2015,1.9,7.29,1.46
108,JP3548610009,2016,1.37,4.85,1.58
108,JP3548610009,2017,1.47,11.36,1.96
109,JP3551520004,2014,1.05,1.76,38.78
109,JP3551520004,2015,1.65,3.66,33.12
109,JP3551520004,2016,1.68,2.91,43.27
109,JP3551520004,2017,1.52,3.41,42.38
110,JP3497400006,2014,1.31,3.71,62.11
110,JP3497400006,2015,1.83,3.98,57.84
110,JP3497400006,2016,1.72,5.05,33.52
110,JP3497400006,2017,2.17,5.8,29.7
111,JP3505000004,2014,1.11,4.32,42.83
111,JP3505000004,2015,1.65,4.33,53.72
111,JP3505000004,2016,1.64,3.49,44.1
111,JP3505000004,2017,1.62,6.18,51.02
112,JP3549070005,2014,2.12,4.57,41.05
112,JP3549070005,2015,2.76,6.53,100.49
112,JP3549070005,2016,3.66,6.38,60.82
112,JP3549070005,2017,2.37,6,70.5
113,JP3499800005,2014,0.76,0.91,694.11
113,JP3499800005,2015,0.94,0.97,670.7
113,JP3499800005,2016,0.64,1.12,650.05
113,JP3499800005,2017,0.69,1.06,646.58
114,JP3548600000,2014,1.44,7.46,15.34
114,JP3548600000,2015,2.5,10.81,7.4
114,JP3548600000,2016,1.92,11.29,6.11
114,JP3548600000,2017,3.29,11.19,4.96
115,JP3486800000,2014,3.44,8.89,44.62
115,JP3486800000,2015,4.34,8.43,34.58
115,JP3486800000,2016,4.57,9.78,29.53
115,JP3486800000,2017,4.3,11.37,20.29
116,JP3491000000,2014,0.86,2.6,61.63
116,JP3491000000,2015,1.01,2.07,57.11
116,JP3491000000,2016,0.59,1.34,58.46
116,JP3491000000,2017,0.92,3.07,54.88
117,JP3638600001,2014,1.34,6.96,63.53
117,JP3638600001,2015,1.69,7.47,46.96
117,JP3638600001,2016,0.93,6.1,42.38
117,JP3638600001,2017,0.95,7.03,36.95
118,JP3639650005,2014,2.41,5.45,50.33
118,JP3639650005,2015,3.66,5.1,59.66
118,JP3639650005,2016,2.41,4.84,66.78
118,JP3639650005,2017,2.56,5.69,71.26
119,JP3493800001,2014,0.58,1.75,21.33
119,JP3493800001,2015,0.8,1.68,18.98
119,JP3493800001,2016,0.67,2,20.07
119,JP3493800001,2017,0.7,1.55,17.93
120,JP3495000006,2014,1.27,3.3,25.14
120,JP3495000006,2015,1.25,2.34,20.46
120,JP3495000006,2016,1.32,3.58,12.77
120,JP3495000006,2017,1.52,3.92,16.13
121,JP3336600006,2014,2.33,8.82,0.56
121,JP3336600006,2015,2.84,8.64,0.28
121,JP3336600006,2016,3.78,10.69,0.22
121,JP3336600006,2017,3.22,10.73,0.19
122,JP3502200003,2014,1.04,1.17,313.06
122,JP3502200003,2015,1.37,1.23,910.62
122,JP3502200003,2016,0.84,1.18,757.46
122,JP3502200003,2017,0.85,1.21,764.07
123,JP3802400006,2014,2.39,8.66,0
123,JP3802400006,2015,3.78,14.05,0
123,JP3802400006,2016,2.29,10.27,0
