No,ISIN CODE,Year,NET CASH FLOW - FINANCING,INCREASE/DECREASE IN CASH/SHOR,NET CASH FLOW - INVESTING,NET CASH FLOW-OPERATING ACTIVS,"PROPERTY, PLANT & EQUIP - NET",CASH DIVIDENDS PAID - TOTAL,CASH & SHORT TERM INVESTMENTS,CASH,TOTAL DEBT,TOTAL CAPITAL,MARKET VALUE,TOTAL SHAREHOLDERS EQUITY,WORKING CAPITAL,TOTAL ASSETS,RETAINED EARNINGS,EARNINGS BEF INTEREST & TAXES,TOTAL LIABILITIES,NET SALES OR REVENUES,FREE CASH FLOW,CASH - GENERIC,BOOK VALUE PER SHARE,OPERATING INCOME,DEPRECIATION,AMORT & IMPAIR OF GOODWILL,AMORTIZATION OF DEFERRED CHARG,AMORTIZATION-INTANGIBLE ASSETS,AMORTIZATION OF INTANGIBLES,DEPRECIATION/DEPLETION/AMORT,SALARIES & BENEFITS EXPENSES,Salaries and Wages from CSR reporting,RESEARCH & DEVELOPMENT
60,JP3429800000,2014,-85569000,49638000,64915000,199538000,1223114000,14041000,373134000,28972000,834768000,1397311000,917083.3,746070000,122319000,2106893000,155820000,52324000,1355602000,1601013000,189556000,373134000,2138.17,61852000,17744000,2726000,118436000,121162000,121162000,138906000,41434000,,
60,JP3429800000,2015,-30424000,-31998000,210749000,208472000,1295208000,10467000,322593000,43901000,819831000,1413354000,1304944,798280000,26106000,2267602000,189353000,91715000,1464050000,1713457000,255786000,322593000,2284.484,91541000,15094000,908000,116235000,117143000,908000,132237000,45147000,,
60,JP3429800000,2016,-133257000,56186000,74443000,263878000,1327954000,13977000,277673000,55293000,703886000,1404005000,1031367,789896000,45698000,2172834000,253545000,142519000,1377934000,1791187000,206485000,277673000,2258.654,136463000,138830000,10170000,,10170000,10170000,149000000,48268000,,
60,JP3429800000,2017,3349000,43935000,194651000,237084000,1360263000,17492000,318785000,60835000,729877000,1535670000,1561994,919157000,94078000,2261651000,334880000,149266000,1337476000,1765259000,329829000,318785000,2624.436,145539000,,176000,,122188000,,140530000,47848000,,
60,JP3429800000,2018,-29989000,-38549000,324494000,316014000,1433101000,21021000,357576000,78036000,798393000,1698820000,1339627,988661000,103091000,2496764000,457746000,205317000,1496212000,1971799000,269255000,357576000,2954.469,164516000,,4031000,,,,154439000,51131000,,
60,JP3429800000,2019,-46480000,-58671000,308671000,296148000,1547070000,20084000,293661000,68301000,788649000,1784975000,1315580,1099413000,14297000,2601815000,548439000,161018000,1492502000,2058312000,277282000,293661000,3285.455,165019000,,4031000,,,,163572000,51135000,,
60,JP3429800000,2020,23869000,-75901000,230218000,130722000,1580326000,25105000,238647000,109447000,842862000,1803425000,800500.6,1061028000,40616000,2460329000,550839000,57792000,1391459000,1974216000,-201311000,238647000,3171.795,60806000,,4006000,,,,179745000,46654000,,
60,JP3429800000,2021,1098172000,234385000,595759000,-270677000,1446307000,0,965719000,464739000,1655452000,2494736000,1342219,1007233000,722897000,2988265000,145101000,-528683000,1975945000,728683000,-157403000,965719000,2141.484,-464774000,,2115000,,,,178467000,35263000,,
60,JP3429800000,2022,93646000,250715000,-230019000,-76576000,1350337000,0,950989000,452679000,1750108000,2316621000,1442225,797249000,606032000,2944981000,-113228000,-150031000,2141566000,1020324000,192258000,950989000,1695.057,-173127000,,2116000,,,,159621000,35441000,,
60,JP3429800000,2023,-142909000,105414000,204026000,449822000,1271312000,0,1183723000,603686000,1607918000,2268459000,1444646,862419000,667419000,3103421000,-21126000,139187000,2233030000,1707484000,513471000,1183723000,1833.637,120030000,,2115000,,,,150385000,42904000,,
60,JP3429800000,2024,-136045000,-110969000,399525000,420622000,1330753000,0,1257806000,600893000,1484036000,2306665000,1389437,1044508000,665762000,3356156000,135971000,228162000,2303529000,2055928000,326449000,1257806000,2222.029,207911000,,2116000,,,,144431000,47159000,,
61,JP3106200003,2014,-6028000,-12277000,17117000,10841000,98883000,3940000,77740000,42241000,42161000,274788000,160790.9,241970000,123759000,344088000,137765000,23272000,99857000,222139000,16857000,77740000,4100.913,22590000,7736000,,0,,,7736000,29285000,,
61,JP3106200003,2015,-18497000,8232000,-8456000,18136000,106132000,5307000,64809000,46010000,43237000,277512000,252596.6,235616000,123686000,342529000,144639000,22386000,104460000,221712000,19578000,64809000,4262.81,19028000,8559000,,0,,,8559000,29358000,,
61,JP3106200003,2016,25761000,10435000,35118000,19815000,109797000,5507000,83443000,57544000,86973000,320086000,207727.5,234121000,148173000,391856000,131063000,20026000,155133000,240224000,19701000,83443000,4366.654,21336000,9316000,201000,0,201000,201000,9517000,31695000,,
61,JP3106200003,2017,-16055000,-10219000,11288000,17094000,109840000,8274000,70481000,50382000,86077000,317172000,235424.5,230881000,145059000,382664000,134299000,19447000,148998000,252777000,26558000,70481000,4443.744,20210000,,1196000,,,,10931000,33643000,,
